Title,Platform,Genres,Rating,Wishlist,Plays,Backlogs,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Year,Release_Year,Publisher
Tomb Raider,PC,Puzzle,3.3,263.0,2700.0,773,1.03,0.96,0.07,0.0,0.0,1996.0,1996.0,Eidos Interactive
Tomb Raider,PS,Shooter,3.3,263.0,2700.0,773,4.63,2.29,1.97,0.13,0.24,1996.0,1996.0,Eidos Interactive
Tomb Raider,PC,Shooter,3.3,263.0,2700.0,773,1.03,0.96,0.07,0.0,0.0,1996.0,1996.0,Eidos Interactive
Battlefield: Bad Company 2,X360,Adventure,3.6,119.0,4200.0,349,3.48,2.09,1.02,0.04,0.32,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PS3,Adventure,3.6,119.0,4200.0,349,2.97,1.33,1.12,0.08,0.45,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PC,Adventure,3.6,119.0,4200.0,349,0.71,0.19,0.53,0.0,0.0,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,X360,Shooter,3.6,119.0,4200.0,349,3.48,2.09,1.02,0.04,0.32,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PS3,Shooter,3.6,119.0,4200.0,349,2.97,1.33,1.12,0.08,0.45,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PC,Shooter,3.6,119.0,4200.0,349,0.71,0.19,0.53,0.0,0.0,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,X360,Simulator,3.6,119.0,4200.0,349,3.48,2.09,1.02,0.04,0.32,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PS3,Simulator,3.6,119.0,4200.0,349,2.97,1.33,1.12,0.08,0.45,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PC,Simulator,3.6,119.0,4200.0,349,0.71,0.19,0.53,0.0,0.0,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,X360,Strategy,3.6,119.0,4200.0,349,3.48,2.09,1.02,0.04,0.32,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PS3,Strategy,3.6,119.0,4200.0,349,2.97,1.33,1.12,0.08,0.45,2010.0,2010.0,Electronic Arts
Battlefield: Bad Company 2,PC,Strategy,3.6,119.0,4200.0,349,0.71,0.19,0.53,0.0,0.0,2010.0,2010.0,Electronic Arts
Ninja Gaiden Black,XB,Adventure,4.3,343.0,992.0,495,0.09,0.07,0.02,0.0,0.0,2005.0,2005.0,Microsoft Game Studios
Ninja Gaiden Black,XB,Brawler,4.3,343.0,992.0,495,0.09,0.07,0.02,0.0,0.0,2005.0,2005.0,Microsoft Game Studios
Sid Meier's Civilization V,PC,Simulator,3.9,140.0,5400.0,369,1.69,0.98,0.52,0.0,0.19,2010.0,2010.0,Take-Two Interactive
Sid Meier's Civilization V,PC,Strategy,3.9,140.0,5400.0,369,1.69,0.98,0.52,0.0,0.19,2010.0,2010.0,Take-Two Interactive
Sid Meier's Civilization V,PC,Turn Based Strategy,3.9,140.0,5400.0,369,1.69,0.98,0.52,0.0,0.19,2010.0,2010.0,Take-Two Interactive
Fire Emblem: Shadow Dragon,DS,Rpg,3.2,235.0,1900.0,808,0.65,0.31,0.03,0.27,0.03,2008.0,2008.0,Nintendo
Fire Emblem: Shadow Dragon,DS,Strategy,3.2,235.0,1900.0,808,0.65,0.31,0.03,0.27,0.03,2008.0,2008.0,Nintendo
Fire Emblem: Shadow Dragon,DS,Tactical,3.2,235.0,1900.0,808,0.65,0.31,0.03,0.27,0.03,2008.0,2008.0,Nintendo
Fire Emblem: Shadow Dragon,DS,Turn Based Strategy,3.2,235.0,1900.0,808,0.65,0.31,0.03,0.27,0.03,2008.0,2008.0,Nintendo
Tomodachi Life,3DS,Adventure,3.7,133.0,3400.0,180,5.15,0.96,2.02,1.89,0.28,2013.0,2013.0,Nintendo
Tomodachi Life,3DS,Simulator,3.7,133.0,3400.0,180,5.15,0.96,2.02,1.89,0.28,2013.0,2013.0,Nintendo
SpongeBob SquarePants: Battle For Bikini Bottom,PS2,Adventure,3.8,216.0,3400.0,370,1.67,1.08,0.45,0.0,0.14,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,GBA,Adventure,3.8,216.0,3400.0,370,1.23,0.88,0.33,0.0,0.02,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,GC,Adventure,3.8,216.0,3400.0,370,0.95,0.74,0.19,0.0,0.03,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,XB,Adventure,3.8,216.0,3400.0,370,0.57,0.45,0.1,0.0,0.02,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,PS2,Platform,3.8,216.0,3400.0,370,1.67,1.08,0.45,0.0,0.14,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,GBA,Platform,3.8,216.0,3400.0,370,1.23,0.88,0.33,0.0,0.02,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,GC,Platform,3.8,216.0,3400.0,370,0.95,0.74,0.19,0.0,0.03,2003.0,2003.0,THQ
SpongeBob SquarePants: Battle For Bikini Bottom,XB,Platform,3.8,216.0,3400.0,370,0.57,0.45,0.1,0.0,0.02,2003.0,2003.0,THQ
LEGO Harry Potter: Years 1-4,Wii,Adventure,3.2,113.0,4100.0,449,2.49,1.29,0.97,0.0,0.23,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,DS,Adventure,3.2,113.0,4100.0,449,2.35,1.07,1.05,0.0,0.23,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,X360,Adventure,3.2,113.0,4100.0,449,1.59,0.95,0.5,0.0,0.14,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PS3,Adventure,3.2,113.0,4100.0,449,1.37,0.55,0.6,0.0,0.22,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PSP,Adventure,3.2,113.0,4100.0,449,0.71,0.14,0.37,0.0,0.19,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PC,Adventure,3.2,113.0,4100.0,449,0.02,0.01,0.01,0.0,0.0,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,Wii,Platform,3.2,113.0,4100.0,449,2.49,1.29,0.97,0.0,0.23,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,DS,Platform,3.2,113.0,4100.0,449,2.35,1.07,1.05,0.0,0.23,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,X360,Platform,3.2,113.0,4100.0,449,1.59,0.95,0.5,0.0,0.14,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PS3,Platform,3.2,113.0,4100.0,449,1.37,0.55,0.6,0.0,0.22,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PSP,Platform,3.2,113.0,4100.0,449,0.71,0.14,0.37,0.0,0.19,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PC,Platform,3.2,113.0,4100.0,449,0.02,0.01,0.01,0.0,0.0,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,Wii,Puzzle,3.2,113.0,4100.0,449,2.49,1.29,0.97,0.0,0.23,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,DS,Puzzle,3.2,113.0,4100.0,449,2.35,1.07,1.05,0.0,0.23,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,X360,Puzzle,3.2,113.0,4100.0,449,1.59,0.95,0.5,0.0,0.14,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PS3,Puzzle,3.2,113.0,4100.0,449,1.37,0.55,0.6,0.0,0.22,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PSP,Puzzle,3.2,113.0,4100.0,449,0.71,0.14,0.37,0.0,0.19,2010.0,2010.0,Warner Bros. Interactive Entertainment
LEGO Harry Potter: Years 1-4,PC,Puzzle,3.2,113.0,4100.0,449,0.02,0.01,0.01,0.0,0.0,2010.0,2010.0,Warner Bros. Interactive Entertainment
